matrix_size,function_name,time
1,naive_multiplication,0.000008
1,better_multiplication,0.000008
1,BLAS,0.000255
1,naive_multiplication,0.000004
1,better_multiplication,0.000003
1,BLAS,0.000004
1,naive_multiplication,0.000002
1,better_multiplication,0.000002
1,BLAS,0.000004
1,naive_multiplication,0.000002
1,better_multiplication,0.000002
1,BLAS,0.000004
1,naive_multiplication,0.000003
1,better_multiplication,0.000002
1,BLAS,0.000004
1,naive_multiplication,0.000002
1,better_multiplication,0.000003
1,BLAS,0.000005
1,naive_multiplication,0.000002
1,better_multiplication,0.000003
1,BLAS,0.000004
1,naive_multiplication,0.000002
1,better_multiplication,0.000003
1,BLAS,0.000004
1,naive_multiplication,0.000002
1,better_multiplication,0.000002
1,BLAS,0.000004
1,naive_multiplication,0.000003
1,better_multiplication,0.000002
1,BLAS,0.000005
6,naive_multiplication,0.000044
6,better_multiplication,0.000044
6,BLAS,0.000019
6,naive_multiplication,0.000040
6,better_multiplication,0.000043
6,BLAS,0.000016
6,naive_multiplication,0.000042
6,better_multiplication,0.000042
6,BLAS,0.000015
6,naive_multiplication,0.000041
6,better_multiplication,0.000048
6,BLAS,0.000015
6,naive_multiplication,0.000041
6,better_multiplication,0.000044
6,BLAS,0.000014
6,naive_multiplication,0.000043
6,better_multiplication,0.000045
6,BLAS,0.000014
6,naive_multiplication,0.000042
6,better_multiplication,0.000042
6,BLAS,0.000015
6,naive_multiplication,0.000040
6,better_multiplication,0.000043
6,BLAS,0.000015
6,naive_multiplication,0.000041
6,better_multiplication,0.000042
6,BLAS,0.000015
6,naive_multiplication,0.000040
6,better_multiplication,0.000044
6,BLAS,0.000015
11,naive_multiplication,0.000241
11,better_multiplication,0.000238
11,BLAS,0.000068
11,naive_multiplication,0.000237
11,better_multiplication,0.000238
11,BLAS,0.000147
11,naive_multiplication,0.000235
11,better_multiplication,0.000974
11,BLAS,0.000067
11,naive_multiplication,0.000235
11,better_multiplication,0.000238
11,BLAS,0.000051
11,naive_multiplication,0.000232
11,better_multiplication,0.000236
11,BLAS,0.000052
11,naive_multiplication,0.000413
11,better_multiplication,0.000239
11,BLAS,0.000061
11,naive_multiplication,0.000235
11,better_multiplication,0.000238
11,BLAS,0.000053
11,naive_multiplication,0.000232
11,better_multiplication,0.000238
11,BLAS,0.000051
11,naive_multiplication,0.000233
11,better_multiplication,0.000237
11,BLAS,0.000051
11,naive_multiplication,0.000232
11,better_multiplication,0.000237
11,BLAS,0.000052
16,naive_multiplication,0.000708
16,better_multiplication,0.001177
16,BLAS,0.000184
16,naive_multiplication,0.000714
16,better_multiplication,0.000713
16,BLAS,0.000152
16,naive_multiplication,0.000712
16,better_multiplication,0.000712
16,BLAS,0.000150
16,naive_multiplication,0.000796
16,better_multiplication,0.000729
16,BLAS,0.000156
16,naive_multiplication,0.000711
16,better_multiplication,0.000708
16,BLAS,0.000148
16,naive_multiplication,0.000710
16,better_multiplication,0.000712
16,BLAS,0.000140
16,naive_multiplication,0.000713
16,better_multiplication,0.000713
16,BLAS,0.000142
16,naive_multiplication,0.000709
16,better_multiplication,0.000716
16,BLAS,0.000144
16,naive_multiplication,0.000705
16,better_multiplication,0.001171
16,BLAS,0.000162
16,naive_multiplication,0.000709
16,better_multiplication,0.000714
16,BLAS,0.000149
21,naive_multiplication,0.001596
21,better_multiplication,0.001603
21,BLAS,0.000365
21,naive_multiplication,0.001630
21,better_multiplication,0.002243
21,BLAS,0.000350
21,naive_multiplication,0.001605
21,better_multiplication,0.002343
21,BLAS,0.000359
21,naive_multiplication,0.001628
21,better_multiplication,0.001595
21,BLAS,0.000431
21,naive_multiplication,0.001628
21,better_multiplication,0.001592
21,BLAS,0.000347
21,naive_multiplication,0.001630
21,better_multiplication,0.001597
21,BLAS,0.000340
21,naive_multiplication,0.001774
21,better_multiplication,0.001645
21,BLAS,0.000346
21,naive_multiplication,0.001635
21,better_multiplication,0.001601
21,BLAS,0.000343
21,naive_multiplication,0.001630
21,better_multiplication,0.001603
21,BLAS,0.000778
21,naive_multiplication,0.001398
21,better_multiplication,0.001157
21,BLAS,0.000278
26,naive_multiplication,0.002111
26,better_multiplication,0.002141
26,BLAS,0.000490
26,naive_multiplication,0.002506
26,better_multiplication,0.002125
26,BLAS,0.000469
26,naive_multiplication,0.002128
26,better_multiplication,0.002123
26,BLAS,0.000519
26,naive_multiplication,0.002136
26,better_multiplication,0.002137
26,BLAS,0.000470
26,naive_multiplication,0.002123
26,better_multiplication,0.002225
26,BLAS,0.000460
26,naive_multiplication,0.002127
26,better_multiplication,0.002123
26,BLAS,0.000459
26,naive_multiplication,0.002135
26,better_multiplication,0.002172
26,BLAS,0.000461
26,naive_multiplication,0.002128
26,better_multiplication,0.002133
26,BLAS,0.000456
26,naive_multiplication,0.002121
26,better_multiplication,0.002186
26,BLAS,0.000453
26,naive_multiplication,0.002129
26,better_multiplication,0.002119
26,BLAS,0.000454
31,naive_multiplication,0.003666
31,better_multiplication,0.003615
31,BLAS,0.000817
31,naive_multiplication,0.003571
31,better_multiplication,0.003673
31,BLAS,0.000784
31,naive_multiplication,0.003585
31,better_multiplication,0.003692
31,BLAS,0.000783
31,naive_multiplication,0.003578
31,better_multiplication,0.003653
31,BLAS,0.000782
31,naive_multiplication,0.003692
31,better_multiplication,0.003615
31,BLAS,0.000766
31,naive_multiplication,0.003579
31,better_multiplication,0.003600
31,BLAS,0.000787
31,naive_multiplication,0.003649
31,better_multiplication,0.003612
31,BLAS,0.000771
31,naive_multiplication,0.003655
31,better_multiplication,0.003599
31,BLAS,0.000777
31,naive_multiplication,0.003584
31,better_multiplication,0.003684
31,BLAS,0.000780
31,naive_multiplication,0.003588
31,better_multiplication,0.003669
31,BLAS,0.000778
36,naive_multiplication,0.005697
36,better_multiplication,0.005859
36,BLAS,0.001257
36,naive_multiplication,0.005806
36,better_multiplication,0.005710
36,BLAS,0.001248
36,naive_multiplication,0.005718
36,better_multiplication,0.005840
36,BLAS,0.001275
36,naive_multiplication,0.005768
36,better_multiplication,0.006011
36,BLAS,0.001273
36,naive_multiplication,0.005821
36,better_multiplication,0.005710
36,BLAS,0.001331
36,naive_multiplication,0.005708
36,better_multiplication,0.005814
36,BLAS,0.001253
36,naive_multiplication,0.005820
36,better_multiplication,0.005733
36,BLAS,0.001250
36,naive_multiplication,0.005784
36,better_multiplication,0.005798
36,BLAS,0.001237
36,naive_multiplication,0.005704
36,better_multiplication,0.005816
36,BLAS,0.001258
36,naive_multiplication,0.005758
36,better_multiplication,0.005702
36,BLAS,0.001243
41,naive_multiplication,0.008748
41,better_multiplication,0.008668
41,BLAS,0.002038
41,naive_multiplication,0.008661
41,better_multiplication,0.008664
41,BLAS,0.001961
41,naive_multiplication,0.008648
41,better_multiplication,0.008740
41,BLAS,0.001876
41,naive_multiplication,0.008794
41,better_multiplication,0.008675
41,BLAS,0.002044
41,naive_multiplication,0.009039
41,better_multiplication,0.008626
41,BLAS,0.002227
41,naive_multiplication,0.008792
41,better_multiplication,0.008636
41,BLAS,0.002026
41,naive_multiplication,0.008746
41,better_multiplication,0.008703
41,BLAS,0.001854
41,naive_multiplication,0.008813
41,better_multiplication,0.008652
